tic,toc,method,size,elapsed
86.482,86.862,mc,400,0.37999999999999545
86.995,87.443,exact,1265,0.4479999999999933
87.443,88.029,mc,1265,0.5859999999999985
88.155,88.167,exact,40,0.012000000000000455
88.168,88.531,mc,40,0.36299999999999955
6.542,53.217,exact,12649,46.675
53.217,78.84100000000001,mc,12649,25.62400000000001
78.968,79.009,exact,126,0.04099999999999682
79.009,79.373,mc,126,0.3640000000000043
79.507,79.961,exact,1265,0.4539999999999935
79.962,80.556,mc,1265,0.5939999999999941
80.678,80.69,exact,40,0.012000000000000455
80.69,81.05,mc,40,0.35999999999999943
81.165,81.215,exact,400,0.04999999999999716
81.215,81.595,mc,400,0.37999999999999545
81.91,86.35900000000001,exact,4000,4.449000000000012
86.35900000000001,89.123,mc,4000,2.763999999999996
4.49,4.965,exact,400,0.47499999999999964
4.966,6.361,mc,400,1.3949999999999996
6.694,11.166,exact,4000,4.472
11.166,13.913,mc,4000,2.747
14.072000000000001,14.519,exact,1265,0.4469999999999992
14.519,15.105,mc,1265,0.5860000000000003
17.346,63.54,exact,12649,46.194
63.54,87.69,mc,12649,24.15
87.81700000000001,87.825,exact,40,0.007999999999995566
87.82600000000001,88.199,mc,40,0.37299999999999045
88.312,88.32300000000001,exact,126,0.01100000000000989
88.32300000000001,88.683,mc,126,0.35999999999999943
4.464,4.918,exact,40,0.45399999999999974
4.9190000000000005,6.2,mc,40,1.2809999999999997
8.45,54.812,exact,12649,46.361999999999995
54.812,78.971,mc,12649,24.159000000000006
79.11,79.122,exact,126,0.012000000000000455
79.122,79.484,mc,126,0.36199999999999477
79.599,79.649,exact,400,0.04999999999999716
79.649,80.028,mc,400,0.3790000000000049
80.161,80.624,exact,1265,0.46299999999999386
80.624,81.209,mc,1265,0.585000000000008
81.54,85.989,exact,4000,4.448999999999998
85.99,88.75,mc,4000,2.760000000000005
6.555,52.242000000000004,exact,12649,45.687000000000005
52.243,77.865,mc,12649,25.621999999999993
78.197,82.678,exact,4000,4.4809999999999945
82.678,85.427,mc,4000,2.7490000000000094
85.572,86.016,exact,1265,0.4440000000000026
86.016,86.60300000000001,mc,1265,0.5870000000000033
86.729,86.745,exact,126,0.016000000000005343
86.745,87.107,mc,126,0.36199999999999477
87.22,87.269,exact,400,0.049000000000006594
87.269,87.65,mc,400,0.3810000000000002
87.763,87.769,exact,40,0.006000000000000227
87.769,88.129,mc,40,0.35999999999999943
4.659,9.537,exact,4000,4.878000000000001
9.537,13.826,mc,4000,4.289
13.965,14.039,exact,400,0.07399999999999984
14.040000000000001,14.417,mc,400,0.3769999999999989
14.551,14.999,exact,1265,0.4480000000000004
15,15.584,mc,1265,0.5839999999999996
15.712,15.719000000000001,exact,40,0.0070000000000014495
15.719000000000001,16.078,mc,40,0.3589999999999982
18.296,63.57,exact,12649,45.274
63.57,87.721,mc,12649,24.151000000000003
87.849,87.861,exact,126,0.012000000000000455
87.861,88.223,mc,126,0.36199999999999477
6.562,52.594,exact,12649,46.032000000000004
52.594,78.197,mc,12649,25.603
78.32600000000001,78.365,exact,40,0.03899999999998727
78.365,78.739,mc,40,0.37400000000000944
79.055,83.553,exact,4000,4.4979999999999905
83.553,86.302,mc,4000,2.7490000000000094
86.452,86.898,exact,1265,0.44599999999999795
86.898,87.483,mc,1265,0.585000000000008
87.61,87.627,exact,126,0.016999999999995907
87.627,88.002,mc,126,0.375
88.117,88.166,exact,400,0.04899999999999238
88.167,88.546,mc,400,0.3790000000000049
4.526,5.412,exact,1265,0.8860000000000001
5.412,7.46,mc,1265,2.048
7.595,7.63,exact,126,0.03500000000000014
7.631,7.9990000000000006,mc,126,0.3680000000000003
8.115,8.164,exact,400,0.04899999999999949
8.164,8.546,mc,400,0.3819999999999997
10.768,56.762,exact,12649,45.994
56.762,80.912,mc,12649,24.150000000000006
81.249,85.743,exact,4000,4.494
85.743,88.492,mc,4000,2.7490000000000094
88.622,88.631,exact,40,0.009000000000000341
88.631,88.99,mc,40,0.35899999999999466
4.532,5.0120000000000005,exact,400,0.4800000000000004
5.0120000000000005,6.4,mc,400,1.388
6.531,6.566,exact,40,0.03500000000000014
6.566,6.928,mc,40,0.3620000000000001
7.063,7.514,exact,1265,0.4510000000000005
7.514,8.120000000000001,mc,1265,0.6060000000000008
10.358,56.654,exact,12649,46.29600000000001
56.654,80.812,mc,12649,24.157999999999994
80.94800000000001,80.96000000000001,exact,126,0.012000000000000455
80.96000000000001,81.327,mc,126,0.3669999999999902
81.642,86.08200000000001,exact,4000,4.440000000000012
86.08200000000001,88.84100000000001,mc,4000,2.7590000000000003
4.489,4.965,exact,400,0.476
4.966,6.354,mc,400,1.388
6.6850000000000005,11.138,exact,4000,4.452999999999999
11.138,13.886000000000001,mc,4000,2.748000000000001
16.124,62.054,exact,12649,45.93000000000001
62.054,86.202,mc,12649,24.147999999999996
86.331,86.34400000000001,exact,126,0.01300000000000523
86.34400000000001,86.70700000000001,mc,126,0.36299999999999955
86.839,87.294,exact,1265,0.4549999999999983
87.295,87.885,mc,1265,0.5900000000000034
88.007,88.016,exact,40,0.009000000000000341
88.017,88.376,mc,40,0.35900000000000887
4.556,5.4350000000000005,exact,1265,0.8790000000000004
5.4350000000000005,7.486,mc,1265,2.0509999999999993
7.823,12.3,exact,4000,4.477
12.3,15.045,mc,4000,2.744999999999999
17.302,63.111000000000004,exact,12649,45.809000000000005
63.111000000000004,87.266,mc,12649,24.155
87.408,87.421,exact,126,0.01300000000000523
87.422,87.782,mc,126,0.35999999999999943
87.893,87.9,exact,40,0.007000000000005002
87.9,88.26,mc,40,0.35999999999999943
88.371,88.42,exact,400,0.049000000000006594
88.42,88.799,mc,400,0.3790000000000049
4.518,5.413,exact,1265,0.8950000000000005
5.413,7.46,mc,1265,2.0469999999999997
7.7940000000000005,12.239,exact,4000,4.445
