"nsamp","true","est","time"
10000,-149.268976489392,-186.440754008609,0.470999999999997
10000,-149.268976489392,-253.613940724406,0.466999999999999
10000,-149.268976489392,-181.934852199862,0.468000000000004
10000,-149.268976489392,-189.817800135381,0.473999999999997
10000,-149.268976489392,-200.917750068944,0.466000000000001
10000,-149.268976489392,-197.405229569281,0.466999999999999
10000,-149.268976489392,-193.294086948677,0.466999999999999
10000,-149.268976489392,-217.851141028835,0.469000000000001
10000,-149.268976489392,-230.619996360461,0.466000000000001
10000,-149.268976489392,-192.48912887421,0.468999999999994
10000,-149.268976489392,-202.955834240534,0.466000000000008
10000,-149.268976489392,-214.853766450007,0.464999999999989
10000,-149.268976489392,-227.317733723511,0.472000000000008
10000,-149.268976489392,-204.122664763934,0.465999999999994
10000,-149.268976489392,-231.545695672115,0.468000000000004
10000,-149.268976489392,-241.147058517093,0.468000000000004
10000,-149.268976489392,-213.435240039042,0.465999999999994
10000,-149.268976489392,-204.125557781617,0.465000000000003
10000,-149.268976489392,-197.762723871969,0.470999999999989
10000,-149.268976489392,-205.204292126653,0.465000000000003
10000,-149.268976489392,-188.657716146211,0.465999999999994
10000,-149.268976489392,-185.733126375668,0.480999999999995
10000,-149.268976489392,-194.048964868065,0.468000000000004
10000,-149.268976489392,-199.732757001886,0.468000000000004
10000,-149.268976489392,-200.36013101061,0.464999999999989
10000,-149.268976489392,-232.945541560206,0.467000000000013
10000,-149.268976489392,-199.109444558268,0.465000000000003
10000,-149.268976489392,-189.27240860513,0.465999999999994
10000,-149.268976489392,-194.631359399513,0.465999999999994
10000,-149.268976489392,-200.303990988459,0.483999999999995
10000,-149.268976489392,-199.00906800919,0.468000000000004
10000,-149.268976489392,-205.179451346118,0.468000000000004
10000,-149.268976489392,-184.573720626878,0.467999999999989
10000,-149.268976489392,-211.199968251971,0.466999999999999
10000,-149.268976489392,-198.639498996422,0.467000000000013
10000,-149.268976489392,-199.881113358532,0.468999999999994
10000,-149.268976489392,-189.5777722275,0.466999999999999
10000,-149.268976489392,-197.22553551883,0.468000000000004
10000,-149.268976489392,-179.28600587016,0.468999999999994
10000,-149.268976489392,-196.682642903853,0.468000000000004
10000,-149.268976489392,-195.168919399884,0.465000000000003
10000,-149.268976489392,-206.207045872376,0.471999999999994
10000,-149.268976489392,-206.039317260263,0.468000000000004
10000,-149.268976489392,-186.105198983962,0.486999999999995
10000,-149.268976489392,-208.890254426148,0.466999999999999
10000,-149.268976489392,-199.49666730456,0.469000000000008
10000,-149.268976489392,-225.525652273566,0.465000000000003
10000,-149.268976489392,-182.025037337374,0.47699999999999
10000,-149.268976489392,-198.35860283524,0.466999999999999
10000,-149.268976489392,-218.902625028493,0.466999999999999
10000,-149.268976489392,-195.135267839725,0.466999999999999
10000,-149.268976489392,-200.826524599085,0.472000000000008
10000,-149.268976489392,-189.396331816789,0.465000000000003
10000,-149.268976489392,-240.547939217871,0.466999999999999
10000,-149.268976489392,-180.835352322242,0.489999999999995
10000,-149.268976489392,-203.849579354886,0.466000000000008
10000,-149.268976489392,-188.286008569151,0.470999999999989
10000,-149.268976489392,-204.649716428297,0.468000000000004
10000,-149.268976489392,-227.53785412631,0.466999999999999
10000,-149.268976489392,-194.086128162981,0.466999999999999
10000,-149.268976489392,-217.890003188204,0.468999999999994
10000,-149.268976489392,-212.87416275424,0.466999999999999
10000,-149.268976489392,-197.029821751898,0.472999999999999
10000,-149.268976489392,-192.130588387845,0.468000000000004
10000,-149.268976489392,-204.341059450435,0.483999999999995
10000,-149.268976489392,-205.936368573493,0.468000000000004
10000,-149.268976489392,-199.037292127474,0.465999999999994
10000,-149.268976489392,-200.062966444478,0.474000000000004
10000,-149.268976489392,-193.757195964854,0.465999999999994
10000,-149.268976489392,-198.206214579676,0.466999999999999
10000,-149.268976489392,-190.157578641527,0.466999999999999
10000,-149.268976489392,-224.119257673044,0.466999999999999
10000,-149.268976489392,-181.883067031597,0.471999999999994
10000,-149.268976489392,-196.950801575654,0.466999999999999
10000,-149.268976489392,-203.222044616166,0.469000000000008
10000,-149.268976489392,-200.014940874232,0.468000000000004
10000,-149.268976489392,-191.048921090641,0.467999999999989
10000,-149.268976489392,-205.942624380467,0.466999999999999
10000,-149.268976489392,-200.025754940706,0.468000000000004
10000,-149.268976489392,-195.849764849842,0.466999999999999
10000,-149.268976489392,-214.543138787855,0.469000000000008
10000,-149.268976489392,-203.539089427397,0.467999999999989
10000,-149.268976489392,-189.383661251775,0.474000000000004
10000,-149.268976489392,-200.193397831986,0.468999999999994
10000,-149.268976489392,-188.41704903784,0.468000000000004
10000,-149.268976489392,-198.200805428539,0.465000000000003
10000,-149.268976489392,-194.254037461583,0.468999999999994
10000,-149.268976489392,-192.697631098756,0.468000000000004
10000,-149.268976489392,-195.153619941729,0.466999999999999
10000,-149.268976489392,-200.585495235194,0.465999999999994
10000,-149.268976489392,-184.071833901131,0.465999999999994
10000,-149.268976489392,-192.79918793468,0.472000000000008
10000,-149.268976489392,-192.584506495504,0.467999999999989
10000,-149.268976489392,-189.215176227414,0.468000000000004
10000,-149.268976489392,-196.166011999992,0.466999999999999
10000,-149.268976489392,-224.608024872616,0.468000000000004
20000,-144.768258389734,-214.234570718221,0.506
20000,-144.768258389734,-189.953652180238,0.486999999999995
20000,-144.768258389734,-193.231466944987,0.48899999999999
20000,-144.768258389734,-199.192042618319,0.488
20000,-144.768258389734,-189.435161371888,0.490000000000009
20000,-144.768258389734,-202.972924908342,0.487000000000009
20000,-144.768258389734,-207.121741605226,0.492000000000004
20000,-144.768258389734,-185.950595973471,0.489999999999995
20000,-144.768258389734,-189.720469522014,0.489999999999995
20000,-144.768258389734,-202.256246823697,0.486999999999995
20000,-144.768258389734,-189.525699253008,0.490000000000009
20000,-144.768258389734,-214.015783607111,0.506
20000,-144.768258389734,-189.915958577147,0.48899999999999
20000,-144.768258389734,-204.604583252128,0.488
20000,-144.768258389734,-216.343517578314,0.489999999999995
20000,-144.768258389734,-207.770283626633,0.489000000000004
20000,-144.768258389734,-193.254245706447,0.489000000000004
20000,-144.768258389734,-196.108970440472,0.48899999999999
20000,-144.768258389734,-194.125453598758,0.491
20000,-144.768258389734,-190.900410753981,0.489000000000004
20000,-144.768258389734,-193.092952213887,0.488000000000014
20000,-144.768258389734,-203.268664843638,0.487000000000009
20000,-144.768258389734,-189.797955491002,0.490000000000009
20000,-144.768258389734,-200.150429449386,0.486999999999995
20000,-144.768258389734,-190.580662682951,0.492999999999995
